iter	Passed	Remaining
623	17216	2096
624	17243	2069
625	17269	2041
626	17296	2013
627	17324	1986
628	17354	1958
629	17381	1931
630	17407	1903
631	17432	1875
632	17458	1847
633	17486	1820
634	17513	1792
635	17541	1765
636	17567	1737
637	17596	1710
638	17622	1682
639	17649	1654
640	17676	1626
641	17704	1599
642	17730	1571
643	17754	1543
644	17781	1516
645	17807	1488
646	17834	1460
647	17860	1433
648	17886	1405
649	17914	1378
650	17941	1350
651	17969	1322
652	17998	1295
653	18025	1267
654	18051	1240
655	18078	1212
656	18105	1184
657	18132	1157
658	18157	1129
659	18185	1102
660	18209	1074
661	18235	1046
662	18263	1019
663	18290	991
664	18318	964
665	18342	936
666	18368	908
667	18395	881
668	18426	853
669	18453	826
670	18479	798
671	18507	771
672	18536	743
673	18563	716
674	18589	688
675	18615	660
676	18642	633
677	18669	605
678	18696	578
679	18726	550
680	18752	523
681	18778	495
682	18804	468
683	18835	440
684	18862	413
685	18889	385
686	18917	357
687	18942	330
688	18969	302
689	18996	275
690	19025	247
691	19051	220
692	19077	192
693	19107	165
694	19133	137
695	19160	110
696	19188	82
697	19218	55
698	19248	27
699	19277	0
